#datumDate,datumId,datumValue
2016-02-05,IR_SWAP/RATE/EUR/2D/3M/15Y,0.0092150000
2016-02-05,IR_SWAP/RATE/EUR/2D/3M/20Y,0.0104030000
2016-02-05,IR_SWAP/RATE/EUR/2D/3M/25Y,0.0109610000
2016-02-05,IR_SWAP/RATE/EUR/2D/3M/2Y,-0.0018080000
2016-02-05,IR_SWAP/RATE/EUR/2D/3M/3Y,-0.0014690000
2016-02-05,IR_SWAP/RATE/EUR/2D/3M/40Y,0.0108280000
2016-02-05,IR_SWAP/RATE/EUR/2D/3M/4Y,-0.0007820000
2016-02-05,IR_SWAP/RATE/EUR/2D/3M/50Y,0.0102810000
2016-02-05,IR_SWAP/RATE/EUR/2D/3M/5Y,0.0001030000
2016-02-05,IR_SWAP/RATE/EUR/2D/3M/6Y,0.0011330000
2016-02-05,IR_SWAP/RATE/EUR/2D/3M/7Y,0.0022330000
2016-02-05,IR_SWAP/RATE/EUR/2D/3M/8Y,0.0035950000
2016-02-05,IR_SWAP/RATE/EUR/2D/3M/9Y,0.0045560000
2016-02-05,IR_SWAP/RATE/EUR/2D/6M/10Y,0.0069480000
2016-02-05,IR_SWAP/RATE/EUR/2D/6M/12Y,0.0083240000
2016-02-05,IR_SWAP/RATE/EUR/2D/6M/15Y,0.0099590000
2016-02-05,IR_SWAP/RATE/EUR/2D/6M/20Y,0.0112440000
2016-02-05,IR_SWAP/RATE/EUR/2D/6M/25Y,0.0116010000
2016-02-05,IR_SWAP/RATE/EUR/2D/6M/2Y,-0.0004660000
2016-02-05,IR_SWAP/RATE/EUR/2D/6M/30Y,0.0115480000
2016-02-05,IR_SWAP/RATE/EUR/2D/6M/3Y,-0.0001560000
2016-02-05,IR_SWAP/RATE/EUR/2D/6M/40Y,0.0114140000
2016-02-05,IR_SWAP/RATE/EUR/2D/6M/4Y,0.0006300000
2016-02-05,IR_SWAP/RATE/EUR/2D/6M/50Y,0.0108410000
2016-02-05,IR_SWAP/RATE/EUR/2D/6M/5Y,0.0015220000
2016-02-05,IR_SWAP/RATE/EUR/2D/6M/7Y,0.0036890000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/10Y,0.0133180000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/12Y,0.0145900000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/15Y,0.0160290000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/1M,0.0044580000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/1Y,0.0056140000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/1Y3M,0.0058570000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/1Y6M,0.0060540000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/1Y9M,0.0060970000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/20Y,0.0173400000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/25Y,0.0180400000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/2Y,0.0064330000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/30Y,0.0183260000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/3M,0.0048510000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/3Y,0.0071010000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/4Y,0.0082640000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/5Y,0.0092690000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/6M,0.0052370000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/7Y,0.0110350000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/9M,0.0054710000
2016-02-05,IR_SWAP/RATE/USD/2D/3M/10Y,0.0168050000
2016-02-05,IR_SWAP/RATE/USD/2D/3M/12Y,0.0180380000
