#NettingSetId,TradeId,IsPar,Factor_1,ShiftSize_1,Factor_2,ShiftSize_2,Currency,Base XVA,Delta,Gamma
CPTY_A,,true,DiscountCurve/EUR/1/5Y,0.000100,,0.000000,EUR,13961.0714,4.3228,#N/A
CPTY_A,,true,DiscountCurve/USD/0/1Y,0.000100,,0.000000,EUR,13961.0714,-1.1000,#N/A
CPTY_A,,true,DiscountCurve/USD/1/5Y,0.000100,,0.000000,EUR,13961.0714,-1.9989,#N/A
CPTY_A,,true,FXSpot/EURUSD/0/spot,0.011323,,0.000000,EUR,13961.0714,-138.2284,#N/A
CPTY_A,,true,FXSpot/USDEUR/0/spot,0.008831,,0.000000,EUR,13961.0714,139.6106,#N/A
CPTY_A,,true,EquitySpot/SP5/0/spot,21.475600,,0.000000,EUR,13961.0714,812.4881,#N/A
CPTY_A,,true,EquityVolatility/SP5/0/6M/ATM,0.002500,,0.000000,EUR,13961.0714,113.1238,#N/A
CPTY_A,,true,EquityVolatility/SP5/1/5Y/ATM,0.001707,,0.000000,EUR,13961.0714,67.5378,#N/A
CPTY_A,,true,EquityVolatility/SP5/2/10Y/ATM,0.001981,,0.000000,EUR,13961.0714,10.9235,#N/A
CPTY_A,,true,SurvivalProbability/CPTY_A/0/1Y,0.000000,,0.000000,EUR,13961.0714,87.6870,#N/A
CPTY_A,,true,SurvivalProbability/CPTY_A/1/5Y,0.000100,,0.000000,EUR,13961.0714,145.4886,#N/A
CPTY_A,,true,CommodityCurve/COMDTY_WTI_USD/0/1Y,0.000000,,0.000000,EUR,13961.0714,154.5474,#N/A
CPTY_A,,true,CommodityVolatility/COMDTY_WTI_USD/3/1Y/ATM,0.001109,,0.000000,EUR,13961.0714,4.4378,#N/A
CPTY_A,,true,CommodityVolatility/COMDTY_WTI_USD/4/5Y/ATM,0.001092,,0.000000,EUR,13961.0714,0.7677,#N/A
CPTY_A,,true,CommodityVolatility/COMDTY_WTI_USD/5/10Y/ATM,0.001022,,0.000000,EUR,13961.0714,0.1633,#N/A
