#NettingSetId,TradeId,IsPar,Factor_1,ShiftSize_1,Factor_2,ShiftSize_2,Currency,Base XVA,Delta,Gamma
CPTY_A,EqCall_SP5_FD,false,FXSpot/EURUSD/0/spot,0.011323,,0.000000,EUR,13608.34,-134.74,#N/A
CPTY_A,EqCall_SP5_FD,false,FXSpot/USDEUR/0/spot,0.008831,,0.000000,EUR,13608.34,136.08,#N/A
CPTY_A,EqCall_SP5_FD,false,EquitySpot/SP5/0/spot,21.475600,,0.000000,EUR,13608.34,806.33,#N/A
CPTY_A,EqCall_SP5_FD,false,EquityVolatility/SP5/0/6M/ATM,0.002500,,0.000000,EUR,13608.34,112.91,#N/A
CPTY_A,EqCall_SP5_FD,false,EquityVolatility/SP5/1/5Y/ATM,0.001707,,0.000000,EUR,13608.34,67.82,#N/A
CPTY_A,EqCall_SP5_FD,false,EquityVolatility/SP5/2/10Y/ATM,0.001981,,0.000000,EUR,13608.34,10.99,#N/A
CPTY_A,EqCall_SP5_FD,false,SurvivalProbability/CPTY_A/0/1Y,0.000000,,0.000000,EUR,13608.34,54.40,#N/A
CPTY_A,EqCall_SP5_FD,false,SurvivalProbability/CPTY_A/1/5Y,0.000100,,0.000000,EUR,13608.34,80.38,#N/A
CPTY_A,,false,DiscountCurve/EUR/0/1Y,0.000100,,0.000000,EUR,13961.07,0.86,#N/A
CPTY_A,,false,DiscountCurve/EUR/1/5Y,0.000100,,0.000000,EUR,13961.07,4.26,#N/A
CPTY_A,,false,DiscountCurve/USD/0/1Y,0.000100,,0.000000,EUR,13961.07,-1.03,#N/A
CPTY_A,,false,DiscountCurve/USD/1/5Y,0.000100,,0.000000,EUR,13961.07,-1.87,#N/A
CPTY_A,,false,FXSpot/EURUSD/0/spot,0.011323,,0.000000,EUR,13961.07,-138.23,#N/A
CPTY_A,,false,FXSpot/USDEUR/0/spot,0.008831,,0.000000,EUR,13961.07,139.61,#N/A
CPTY_A,,false,EquitySpot/SP5/0/spot,21.475600,,0.000000,EUR,13961.07,804.44,#N/A
CPTY_A,,false,EquityVolatility/SP5/0/6M/ATM,0.002500,,0.000000,EUR,13961.07,113.12,#N/A
CPTY_A,,false,EquityVolatility/SP5/1/5Y/ATM,0.001707,,0.000000,EUR,13961.07,67.54,#N/A
CPTY_A,,false,EquityVolatility/SP5/2/10Y/ATM,0.001981,,0.000000,EUR,13961.07,10.92,#N/A
CPTY_A,,false,SurvivalProbability/CPTY_A/0/1Y,0.000000,,0.000000,EUR,13961.07,52.64,#N/A
CPTY_A,,false,SurvivalProbability/CPTY_A/1/5Y,0.000100,,0.000000,EUR,13961.07,85.50,#N/A
CPTY_A,,false,CommodityCurve/COMDTY_WTI_USD/0/1Y,0.000000,,0.000000,EUR,13961.07,153.02,#N/A
CPTY_A,,false,CommodityVolatility/COMDTY_WTI_USD/3/1Y/ATM,0.001109,,0.000000,EUR,13961.07,4.44,#N/A
CPTY_A,,false,CommodityVolatility/COMDTY_WTI_USD/4/5Y/ATM,0.001092,,0.000000,EUR,13961.07,0.77,#N/A
CPTY_A,,false,CommodityVolatility/COMDTY_WTI_USD/5/10Y/ATM,0.001022,,0.000000,EUR,13961.07,0.16,#N/A
